PDF File,Status,ROI,Signature_box,Error Message
264668.pdf,Failed,"[366, 547, 0, 166]",,Signature not detected
265105.pdf,Failed,"[375, 612, 0, 148]",,Signature not detected
265531.pdf,Failed,"[339, 610, 0, 139]",,Signature not detected
266112.pdf,Failed,"[326, 540, 0, 143]",,Signature not detected
266345.pdf,Failed,"[364, 540, 0, 167]",,Signature not detected
266694.pdf,Failed,"[364, 542, 0, 167]",,Signature not detected
266970.pdf,Failed,"[360, 606, 0, 166]",,Signature not detected
267224.pdf,Failed,"[390, 542, 0, 166]",,Signature not detected
267232.pdf,Failed,"[338, 542, 0, 144]",,Signature not detected
267611.pdf,Failed,"[334, 544, 0, 146]",,Signature not detected
268287.pdf,Failed,"[364, 543, 0, 169]",,Signature not detected
268439.pdf,Failed,"[343, 548, 0, 147]",,Signature not detected
268581.pdf,Failed,"[386, 543, 0, 165]",,Signature not detected
268760.pdf,Failed,"[365, 542, 0, 166]",,Signature not detected
268820.pdf,Failed,"[366, 533, 0, 164]",,Signature not detected
268988.pdf,Failed,"[431, 543, 0, 165]",,Signature not detected
269149.pdf,Failed,"[344, 548, 0, 145]",,Signature not detected
269279.pdf,Failed,"[438, 542, 0, 164]",,Signature not detected
269342.pdf,Failed,"[334, 547, 0, 145]",,Signature not detected
269668.pdf,Failed,"[338, 545, 0, 144]",,Signature not detected
269674.pdf,Failed,"[418, 612, 0, 170]",,Signature not detected
269709.pdf,Failed,"[365, 542, 0, 166]",,Signature not detected
269920.pdf,Failed,"[365, 543, 0, 167]",,Signature not detected
270281.pdf,Failed,"[375, 561, 0, 168]",,Signature not detected
270589.pdf,Failed,"[338, 543, 0, 146]",,Signature not detected
271001.pdf,Failed,"[414, 612, 0, 171]",,Signature not detected
271140.pdf,Failed,"[339, 543, 0, 144]",,Signature not detected
271325.pdf,Failed,"[329, 543, 0, 149]",,Signature not detected
271808.pdf,Failed,"[341, 548, 0, 150]",,Signature not detected
272028.pdf,Failed,"[341, 546, 0, 135]",,Signature not detected
272057.pdf,Failed,"[456, 547, 0, 170]",,Signature not detected
272303.pdf,Failed,"[335, 541, 0, 148]",,Signature not detected
272563.pdf,Failed,"[366, 543, 0, 166]",,Signature not detected
273960.pdf,Failed,"[384, 544, 0, 165]",,Signature not detected
274236.pdf,Failed,"[369, 549, 0, 166]",,Signature not detected
275605.pdf,Failed,"[394, 542, 0, 164]",,Signature not detected
275865.pdf,Failed,"[366, 544, 0, 172]",,Signature not detected
275922.pdf,Failed,"[390, 544, 0, 165]",,Signature not detected
276311.pdf,Failed,"[376, 543, 0, 164]",,Signature not detected
277448.pdf,Failed,"[341, 546, 0, 147]",,Signature not detected
277503.pdf,Failed,"[336, 543, 0, 142]",,Signature not detected
277736.pdf,Failed,"[509, 544, 0, 165]",,Signature not detected
