PDF File,Status,ROI,Signature_box,Error Message
252211.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
252311.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
252337.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
252393.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
252521.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
252744.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
252990.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
253042.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
253214.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
253220.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
253244.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
253346.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
253430.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
253473.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
253623.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
253796.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
253891.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
254148.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
254207.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
254310.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
254605.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
254785.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
254793.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
254976.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
255049.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
255070.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
255145.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
255587.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
255663.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
255744.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
255794.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
255881.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
255908.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
255917.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
255928.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
256012.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
256036.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
256043.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
256087.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
256499.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
256620.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
256986.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
257037.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
257085.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
257140.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
257305 (2).pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
257305.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
257395.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
257611.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
258273.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
258537.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
258677.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
258904.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
258980.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
258994.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
259264.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
259381.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
259569.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
260143.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
260307.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
260535.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
260620.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
260668.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
260724.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
260736.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
260829.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
260998.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
261323.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
261385.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
261760.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
262107.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
262112.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
262363.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
262896.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
263221.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
263354.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
263659.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
263814.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
264081.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
264236.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
264301.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
264360.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
264395.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
264529.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
264617.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
264871.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
265348.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
265485.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
265499.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
266121.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
266224.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
266401.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
266554.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
267293.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
267682.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
267820.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
267900.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
267940.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
267980.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
268313.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
268437.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
268730.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
268781.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
268859.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
269031.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
269138.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
269176.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
269227.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
269265.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
269369.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
269411.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
270203.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
270539.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
270635.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
271049.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
271421.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
271481.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
271507.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
271591.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
272000.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
272078.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
272475.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
272703.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
273409.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
273425.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
273469.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
273733.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
273898.pdf,Failed,,NAUnexpected error: 'NoneType' object has no attribute 'shape',
