PDF File,Status,ROI,Signature_box,Error Message
108028.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
109359.pdf,Success,"[372, 551, 0, 169]","[[419.9745788574219, 107.25199890136719, 480.65826416015625, 139.34793090820312]]",Processed successfully
109781.pdf,Failed,"[357, 541, 0, 162]",NA,Signature not detected
110473.pdf,Success,"[340, 544, 0, 146]","[[337.121337890625, 83.92716217041016, 458.1647644042969, 132.50071716308594]]",Processed successfully
110538.pdf,Success,"[367, 543, 0, 168]","[[388.8507995605469, 120.02688598632812, 454.8393249511719, 137.67599487304688], [464.4578857421875, 116.82362365722656, 519.9478149414062, 128.99139404296875]]",Processed successfully
110619.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
112564.pdf,Failed,"[377, 542, 0, 167]",NA,Signature not detected
113845.pdf,Success,"[374, 550, 0, 168]","[[372.1290588378906, 109.2005615234375, 501.64373779296875, 134.80702209472656], [371.708251953125, 143.6467742919922, 503.20458984375, 168.3887939453125]]",Processed successfully
113968.pdf,Failed,"[411, 612, 0, 148]",NA,Signature not detected
115821.pdf,Success,"[372, 545, 0, 167]","[[370.3778991699219, 90.50061798095703, 517.2570190429688, 136.77871704101562]]",Processed successfully
118162.pdf,Failed,"[406, 610, 0, 188]",NA,Signature not detected
119011.pdf,Success,"[340, 544, 0, 146]","[[345.7900390625, 19.778888702392578, 511.6999206542969, 124.75042724609375], [365.1524353027344, 115.537109375, 502.9724426269531, 135.1479949951172], [370.9333801269531, 115.68738555908203, 414.0089416503906, 133.59197998046875]]",Processed successfully
119273.pdf,Success,"[339, 543, 0, 146]","[[368.06695556640625, 111.64738464355469, 512.753662109375, 138.89691162109375], [470.4131164550781, 112.06817626953125, 522.4837646484375, 141.71522521972656], [369.0112609863281, 113.52864837646484, 457.0642395019531, 133.8094024658203]]",Processed successfully
121937.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
122551.pdf,Failed,"[368, 543, 0, 167]",NA,Signature not detected
122616.pdf,Failed,"[444, 543, 0, 164]",NA,Signature not detected
124325.pdf,Success,"[445, 612, 0, 171]","[[449.57769775390625, 117.60797119140625, 535.2416381835938, 138.39260864257812]]",Processed successfully
124650.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
125266.pdf,Failed,"[341, 544, 0, 142]",NA,Signature not detected
126343.pdf,Success,"[339, 544, 0, 143]","[[361.87310791015625, 107.91963195800781, 521.7884521484375, 135.850830078125]]",Processed successfully
127674.pdf,Success,"[372, 545, 0, 165]","[[371.5133361816406, 108.36143493652344, 446.0809326171875, 133.60594177246094]]",Processed successfully
128248.pdf,Success,"[367, 544, 0, 166]","[[369.9915771484375, 106.85459899902344, 480.7186279296875, 138.388671875]]",Processed successfully
130520.pdf,Failed,"[432, 612, 0, 170]",NA,Signature not detected
130936.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
131063.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
131128.pdf,Success,"[390, 543, 0, 167]","[[416.7255859375, 109.76515197753906, 506.7841491699219, 144.42489624023438]]",Processed successfully
131623.pdf,Success,"[366, 543, 0, 168]","[[403.3700866699219, 115.01457214355469, 487.30712890625, 133.21592712402344]]",Processed successfully
132263.pdf,Success,"[343, 550, 0, 148]","[[369.9258117675781, 112.73966979980469, 517.7896118164062, 137.95423889160156]]",Processed successfully
132679.pdf,Success,"[404, 543, 0, 170]","[[417.8009338378906, 116.3906021118164, 480.26849365234375, 135.76519775390625]]",Processed successfully
134207.pdf,Success,"[369, 542, 0, 168]","[[368.2723693847656, 102.50272369384766, 487.221435546875, 133.9967041015625]]",Processed successfully
135203.pdf,Success,"[367, 541, 0, 170]","[[400.9978942871094, 111.61661529541016, 463.3772888183594, 135.4752655029297]]",Processed successfully
138112.pdf,Success,"[406, 547, 0, 147]","[[405.1780090332031, 91.06441497802734, 527.4097900390625, 118.15827178955078]]",Processed successfully
138942.pdf,Success,"[368, 542, 0, 167]","[[377.7154846191406, 119.9759521484375, 471.1195068359375, 133.77223205566406]]",Processed successfully
139003.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
139639.pdf,Success,"[401, 612, 0, 170]","[[439.1116638183594, 94.7051773071289, 505.4662780761719, 145.1389923095703]]",Processed successfully
140208.pdf,Success,"[367, 543, 0, 165]","[[382.2296142578125, 109.00891876220703, 450.09991455078125, 133.37875366210938]]",Processed successfully
141343.pdf,Success,"[342, 545, 0, 142]","[[370.2026672363281, 114.56354522705078, 526.6124877929688, 133.92311096191406]]",Processed successfully
141636.pdf,Success,"[339, 543, 0, 151]","[[367.8365173339844, 123.39827728271484, 426.8482971191406, 138.00042724609375]]",Processed successfully
142357.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
143549.pdf,Success,"[438, 612, 0, 192]","[[437.742431640625, 140.71249389648438, 519.2960815429688, 166.65097045898438]]",Processed successfully
143816.pdf,Success,"[370, 543, 0, 166]","[[368.69927978515625, 145.5743865966797, 383.9640197753906, 164.82411193847656]]",Processed successfully
144367.pdf,Failed,"[336, 542, 0, 147]",NA,Signature not detected
144896.pdf,Success,"[340, 543, 0, 150]","[[376.0820007324219, 115.5064697265625, 502.0609130859375, 137.14688110351562]]",Processed successfully
145135.pdf,Success,"[374, 542, 0, 164]","[[370.3783874511719, 114.79742431640625, 526.6328125, 138.768798828125]]",Processed successfully
145347.pdf,Success,"[372, 542, 0, 166]","[[373.97601318359375, 116.37614440917969, 509.5234680175781, 134.61952209472656], [369.47247314453125, 154.98585510253906, 485.04925537109375, 167.42124938964844]]",Processed successfully
145915.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
146254.pdf,Failed,"[438, 612, 0, 170]",NA,Signature not detected
147179.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
147836.pdf,Success,"[373, 543, 0, 170]","[[374.5521545410156, 114.73765563964844, 519.9113159179688, 141.69223022460938], [370.621826171875, 157.8099822998047, 428.72100830078125, 170.86061096191406]]",Processed successfully
148206.pdf,Success,"[380, 540, 0, 167]","[[377.7267150878906, 108.84944152832031, 525.7230834960938, 140.4373779296875]]",Processed successfully
148256.pdf,Failed,"[369, 543, 0, 164]",NA,Signature not detected
148311.pdf,Success,"[402, 612, 0, 170]","[[403.8344421386719, 110.88756561279297, 481.48138427734375, 142.93893432617188]]",Processed successfully
148387.pdf,Success,"[341, 543, 0, 147]","[[380.1912841796875, 122.66964721679688, 445.3399963378906, 135.95550537109375], [409.00225830078125, 123.36488342285156, 441.6798095703125, 136.0387725830078]]",Processed successfully
148426.pdf,Success,"[368, 543, 0, 168]","[[373.3277893066406, 111.44171905517578, 466.9222412109375, 134.8898468017578]]",Processed successfully
149155.pdf,Success,"[420, 610, 0, 185]","[[414.8199157714844, 128.252197265625, 490.8829040527344, 151.54188537597656]]",Processed successfully
149634.pdf,Failed,"[384, 544, 0, 169]",NA,Signature not detected
149723.pdf,Success,"[346, 548, 0, 145]","[[372.4046630859375, 116.8013687133789, 514.0315551757812, 135.0262451171875]]",Processed successfully
149773.pdf,Failed,"[344, 542, 0, 147]",NA,Signature not detected
150821.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
151233.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
151615.pdf,Success,"[368, 547, 0, 167]","[[367.9584045410156, 114.02471160888672, 422.7488708496094, 138.4968719482422], [432.0710754394531, 124.83351135253906, 519.8834228515625, 136.99148559570312], [364.2139587402344, 115.21389770507812, 516.0650024414062, 139.1170196533203]]",Processed successfully
151649.pdf,Success,"[373, 550, 0, 168]","[[377.66497802734375, 153.35560607910156, 480.51116943359375, 168.2864532470703]]",Processed successfully
151924.pdf,Success,"[394, 542, 0, 166]","[[393.75250244140625, 110.68997955322266, 495.6923522949219, 143.51060485839844]]",Processed successfully
152475.pdf,Failed,"[376, 544, 0, 167]",NA,Signature not detected
152572.pdf,Success,"[427, 610, 0, 185]","[[429.65869140625, 142.45675659179688, 539.6395263671875, 159.0594024658203]]",Processed successfully
152792.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
153277.pdf,Success,"[344, 548, 0, 147]","[[372.1380615234375, 105.19918823242188, 515.5316772460938, 137.08682250976562]]",Processed successfully
153340.pdf,Success,"[349, 552, 0, 147]","[[375.511474609375, 116.9291000366211, 516.1331176757812, 139.02574157714844]]",Processed successfully
153798.pdf,Failed,"[378, 542, 0, 164]",NA,Signature not detected
153829.pdf,Success,"[372, 543, 0, 171]","[[373.1389465332031, 107.83680725097656, 510.8940734863281, 140.10142517089844]]",Processed successfully
154079.pdf,Failed,"[414, 612, 0, 170]",NA,Signature not detected
154671.pdf,Success,"[386, 543, 0, 168]","[[415.60723876953125, 111.60076141357422, 507.66339111328125, 136.3380584716797]]",Processed successfully
155855.pdf,Success,"[398, 543, 0, 165]","[[397.08233642578125, 104.65290069580078, 494.611083984375, 137.26406860351562]]",Processed successfully
156063.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
156356.pdf,Success,"[345, 562, 0, 151]","[[378.4105224609375, 112.71455383300781, 520.5134887695312, 137.9443359375], [396.48052978515625, 140.96728515625, 489.7518615722656, 151.1417694091797]]",Processed successfully
156885.pdf,Failed,"[432, 545, 0, 168]",NA,Signature not detected
157572.pdf,Success,"[366, 542, 0, 169]","[[388.05047607421875, 97.75044250488281, 493.26470947265625, 143.02491760253906]]",Processed successfully
157946.pdf,Success,"[365, 546, 0, 165]","[[380.39630126953125, 98.38314056396484, 515.884033203125, 140.8451690673828], [362.7016906738281, 151.9249725341797, 454.362060546875, 163.99317932128906]]",Processed successfully
158455.pdf,Success,"[382, 543, 0, 167]","[[442.48260498046875, 107.94063568115234, 511.8066101074219, 139.19619750976562], [385.8724670410156, 143.8352508544922, 485.5307312011719, 167.85379028320312], [385.4490966796875, 154.61282348632812, 469.56982421875, 167.9680938720703]]",Processed successfully
158536.pdf,Failed,"[375, 543, 0, 167]",NA,Signature not detected
158879.pdf,Success,"[371, 543, 0, 170]","[[368.9864501953125, 108.80452728271484, 487.7873840332031, 139.91522216796875]]",Processed successfully
158934.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
