PDF File,Status,ROI,Signature_boxError Message
021381.pdf,Success,"[363, 540, 0, 185]","[[2.573598623275757, 31.511198043823242, 20.52688980102539, 85.67768096923828], [41.6251335144043, 79.14546203613281, 81.8976058959961, 121.26091766357422], [38.443538665771484, 24.069931030273438, 160.5365753173828, 59.82720947265625]]",Processed successfully
043236.pdf,Success,"[401, 612, 0, 191]","[[20.308624267578125, 112.94225311279297, 122.92496490478516, 144.9001922607422], [0.0, 150.35025024414062, 71.24190521240234, 187.42935180664062]]",Processed successfully
049541.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
049672.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
050649.pdf,Success,"[372, 545, 0, 188]","[[0.0, 112.11580657958984, 61.705509185791016, 139.50555419921875], [69.01834869384766, 102.82655334472656, 136.88937377929688, 134.72320556640625], [2.5623064041137695, 102.1126937866211, 131.98428344726562, 138.18519592285156], [58.44341278076172, 146.3368377685547, 80.70848846435547, 163.55606079101562]]",Processed successfully
051069.pdf,Success,"[375, 544, 0, 185]","[[46.835384368896484, 107.99604034423828, 109.52207946777344, 139.48655700683594], [6.9555745124816895, 115.55280303955078, 36.34365463256836, 140.2549591064453]]",Processed successfully
052536.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
056108.pdf,Success,"[369, 545, 0, 190]","[[78.44249725341797, 114.59310150146484, 141.71804809570312, 139.26771545410156], [22.58315658569336, 7.844529628753662, 108.37125396728516, 22.68503189086914]]",Processed successfully
061218.pdf,Success,"[377, 543, 0, 187]","[[74.75727844238281, 114.24694061279297, 124.35874938964844, 133.1265411376953], [0.0, 115.50399017333984, 64.8916244506836, 133.68716430664062]]",Processed successfully
068058.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
072316.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
072617.pdf,Success,"[366, 542, 0, 188]","[[49.782772064208984, 98.50813293457031, 79.6947021484375, 138.2007598876953], [34.79793167114258, 161.13742065429688, 66.5046157836914, 186.60787963867188]]",Processed successfully
076213.pdf,Success,"[362, 540, 0, 187]","[[8.220480918884277, 118.20882415771484, 94.11083221435547, 148.57984924316406], [73.35517883300781, 120.8199234008789, 130.73422241210938, 141.42872619628906], [40.15945053100586, 153.74546813964844, 105.96392059326172, 179.65562438964844]]",Processed successfully
078532.pdf,Success,"[433, 612, 0, 191]","[[6.7313666343688965, 160.5135498046875, 75.48085021972656, 188.6736297607422], [19.096792221069336, 125.18509674072266, 36.3218994140625, 141.31471252441406]]",Processed successfully
079423.pdf,Success,"[366, 542, 0, 187]","[[2.5431087017059326, 109.71305847167969, 87.24471282958984, 140.68959045410156], [31.482433319091797, 164.3398895263672, 97.400634765625, 186.0651397705078], [0.0, 104.20034790039062, 154.66368103027344, 139.1190948486328], [12.018070220947266, 152.30706787109375, 96.06204986572266, 185.49363708496094]]",Processed successfully
080490.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
081886.pdf,Success,"[370, 548, 0, 187]","[[53.71221923828125, 115.09158325195312, 137.8016357421875, 141.89427185058594]]",Processed successfully
084038.pdf,Success,"[374, 542, 0, 188]","[[0.0, 166.0331573486328, 56.42796325683594, 182.64572143554688]]",Processed successfully
085042.pdf,Success,"[372, 546, 0, 188]","[[0.0, 109.4321060180664, 139.0293731689453, 133.79580688476562]]",Processed successfully
085254.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
086153.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
086551.pdf,Success,"[366, 542, 0, 184]","[[62.86074447631836, 105.16687774658203, 138.46817016601562, 139.00930786132812], [2.8307242393493652, 109.85396575927734, 63.098777770996094, 132.35504150390625], [3.172323226928711, 110.10722351074219, 29.352890014648438, 132.47377014160156]]",Processed successfully
087947.pdf,Success,"[367, 543, 0, 186]","[[68.98175048828125, 113.68024444580078, 138.5762481689453, 132.6155548095703], [0.0, 167.1339874267578, 42.42927932739258, 181.34548950195312]]",Processed successfully
089004.pdf,Failed,NA,NAUnexpected error: 'NoneType' object is not subscriptable
