PDF File,Status,ROI,Error Message
280329.pdf,Failed,NA,ROI not found or OCR error
280383.pdf,Success,"[377, 550, 0, 186]",Processed successfully
280413.pdf,Failed,NA,ROI not found or OCR error
280421.pdf,Failed,NA,ROI not found or OCR error
280499.pdf,Success,"[383, 543, 0, 188]",Processed successfully
280501.pdf,Failed,NA,ROI not found or OCR error
280529.pdf,Failed,NA,ROI not found or OCR error
280850.pdf,Success,"[376, 544, 0, 187]",Processed successfully
280892.pdf,Success,"[372, 546, 0, 188]",Processed successfully
280910.pdf,Success,"[373, 545, 0, 182]",Processed successfully
280950.pdf,Failed,NA,ROI not found or OCR error
280984.pdf,Failed,NA,ROI not found or OCR error
280996.pdf,Success,"[365, 544, 0, 187]",Processed successfully
281031.pdf,Success,"[402, 612, 0, 191]",Processed successfully
281236.pdf,Failed,NA,ROI not found or OCR error
281270.pdf,Failed,NA,ROI not found or OCR error
281415.pdf,Success,"[365, 542, 0, 187]",Processed successfully
281423.pdf,Failed,NA,ROI not found or OCR error
281427.pdf,Success,"[454, 543, 0, 183]",Processed successfully
281497.pdf,Failed,NA,ROI not found or OCR error
281505.pdf,Success,"[360, 544, 0, 187]",Processed successfully
281513.pdf,Failed,NA,ROI not found or OCR error
281537.pdf,Failed,NA,ROI not found or OCR error
281602.pdf,Success,"[373, 551, 0, 188]",Processed successfully
281611.pdf,Success,"[377, 544, 0, 183]",Processed successfully
281641.pdf,Success,"[409, 610, 0, 212]",Processed successfully
281650.pdf,Success,"[365, 543, 0, 185]",Processed successfully
281694.pdf,Failed,NA,ROI not found or OCR error
281718.pdf,Success,"[364, 546, 0, 189]",Processed successfully
281730.pdf,Failed,NA,ROI not found or OCR error
281760.pdf,Success,"[385, 543, 0, 189]",Processed successfully
281832.pdf,Success,"[419, 612, 0, 188]",Processed successfully
281835.pdf,Success,"[360, 536, 0, 188]",Processed successfully
281882.pdf,Failed,NA,ROI not found or OCR error
281884.pdf,Success,"[366, 543, 0, 188]",Processed successfully
281942.pdf,Failed,NA,ROI not found or OCR error
281962.pdf,Failed,NA,ROI not found or OCR error
281998.pdf,Success,"[429, 543, 0, 189]",Processed successfully
282028.pdf,Failed,NA,ROI not found or OCR error
282042.pdf,Failed,NA,ROI not found or OCR error
282054.pdf,Success,"[366, 544, 0, 187]",Processed successfully
282066.pdf,Success,"[405, 612, 0, 190]",Processed successfully
282087.pdf,Failed,NA,ROI not found or OCR error
282101.pdf,Failed,NA,ROI not found or OCR error
282221.pdf,Success,"[379, 542, 0, 184]",Processed successfully
282236.pdf,Success,"[386, 548, 0, 187]",Processed successfully
282238.pdf,Success,"[371, 549, 0, 185]",Processed successfully
282249.pdf,Success,"[363, 541, 0, 187]",Processed successfully
282319.pdf,Failed,NA,ROI not found or OCR error
282337.pdf,Success,"[435, 612, 0, 191]",Processed successfully
282429.pdf,Success,"[367, 543, 0, 186]",Processed successfully
282435.pdf,Failed,NA,ROI not found or OCR error
282437.pdf,Failed,NA,ROI not found or OCR error
282472.pdf,Success,"[400, 612, 0, 189]",Processed successfully
282481.pdf,Success,"[378, 543, 0, 192]",Processed successfully
282499.pdf,Failed,NA,ROI not found or OCR error
282515.pdf,Success,"[409, 612, 0, 191]",Processed successfully
282527.pdf,Success,"[369, 543, 0, 186]",Processed successfully
282529.pdf,Failed,NA,ROI not found or OCR error
282535.pdf,Failed,NA,ROI not found or OCR error
282539.pdf,Success,"[367, 544, 0, 185]",Processed successfully
282632.pdf,Failed,NA,ROI not found or OCR error
282662.pdf,Failed,NA,ROI not found or OCR error
282703.pdf,Success,"[371, 547, 0, 187]",Processed successfully
282709.pdf,Failed,NA,ROI not found or OCR error
282727.pdf,Success,"[363, 539, 0, 187]",Processed successfully
282754.pdf,Failed,NA,ROI not found or OCR error
282789.pdf,Success,"[368, 543, 0, 186]",Processed successfully
282820.pdf,Failed,NA,ROI not found or OCR error
282924.pdf,Success,"[369, 543, 0, 190]",Processed successfully
282930.pdf,Failed,NA,ROI not found or OCR error
282940.pdf,Failed,NA,ROI not found or OCR error
282968.pdf,Success,"[363, 541, 0, 185]",Processed successfully
282996.pdf,Success,"[369, 543, 0, 189]",Processed successfully
283016.pdf,Success,"[369, 543, 0, 190]",Processed successfully
283039.pdf,Failed,NA,ROI not found or OCR error
283063.pdf,Failed,NA,ROI not found or OCR error
283069.pdf,Success,"[375, 544, 0, 181]",Processed successfully
283097.pdf,Success,"[368, 543, 0, 187]",Processed successfully
283121.pdf,Failed,NA,ROI not found or OCR error
283138.pdf,Success,"[370, 545, 0, 186]",Processed successfully
283152.pdf,Failed,NA,ROI not found or OCR error
283185.pdf,Failed,NA,ROI not found or OCR error
283187.pdf,Success,"[373, 545, 0, 189]",Processed successfully
283232.pdf,Failed,NA,ROI not found or OCR error
283291.pdf,Failed,NA,ROI not found or OCR error
283293.pdf,Failed,NA,ROI not found or OCR error
283329.pdf,Failed,NA,ROI not found or OCR error
283421.pdf,Failed,NA,ROI not found or OCR error
283507.pdf,Failed,NA,ROI not found or OCR error
283587.pdf,Success,"[374, 545, 0, 185]",Processed successfully
283589.pdf,Success,"[372, 544, 0, 187]",Processed successfully
283641.pdf,Failed,NA,ROI not found or OCR error
283653.pdf,Success,"[404, 612, 0, 191]",Processed successfully
283793.pdf,Success,"[386, 612, 0, 187]",Processed successfully
283829.pdf,Failed,NA,ROI not found or OCR error
283853.pdf,Success,"[369, 542, 0, 189]",Processed successfully
283862.pdf,Success,"[370, 545, 0, 188]",Processed successfully
284028.pdf,Success,"[373, 544, 0, 188]",Processed successfully
284051.pdf,Failed,NA,ROI not found or OCR error
284087.pdf,Failed,NA,ROI not found or OCR error
284140.pdf,Failed,NA,ROI not found or OCR error
284143.pdf,Failed,NA,ROI not found or OCR error
284283.pdf,Success,"[366, 547, 0, 219]",Processed successfully
284287.pdf,Success,"[418, 543, 0, 186]",Processed successfully
284293.pdf,Failed,NA,ROI not found or OCR error
284319.pdf,Success,"[368, 538, 0, 189]",Processed successfully
284323.pdf,Failed,NA,ROI not found or OCR error
284395.pdf,Success,"[407, 543, 0, 193]",Processed successfully
284409.pdf,Failed,NA,ROI not found or OCR error
284419.pdf,Success,"[372, 545, 0, 186]",Processed successfully
284423.pdf,Success,"[383, 550, 0, 190]",Processed successfully
284442.pdf,Failed,NA,ROI not found or OCR error
284493.pdf,Failed,NA,ROI not found or OCR error
284517.pdf,Failed,NA,ROI not found or OCR error
284602.pdf,Success,"[362, 539, 0, 189]",Processed successfully
284623.pdf,Failed,NA,ROI not found or OCR error
284694.pdf,Failed,NA,ROI not found or OCR error
284698.pdf,Success,"[371, 543, 0, 187]",Processed successfully
284718.pdf,Failed,NA,ROI not found or OCR error
284739.pdf,Failed,NA,ROI not found or OCR error
284766.pdf,Failed,NA,ROI not found or OCR error
284772.pdf,Success,"[368, 542, 0, 188]",Processed successfully
284805.pdf,Failed,NA,ROI not found or OCR error
284856.pdf,Failed,NA,ROI not found or OCR error
284884.pdf,Success,"[389, 543, 0, 190]",Processed successfully
284888.pdf,Failed,NA,ROI not found or OCR error
284891.pdf,Success,"[368, 544, 0, 188]",Processed successfully
284962.pdf,Failed,NA,ROI not found or OCR error
284982.pdf,Success,"[367, 545, 0, 188]",Processed successfully
285081.pdf,Success,"[369, 543, 0, 188]",Processed successfully
285132.pdf,Success,"[373, 547, 0, 188]",Processed successfully
285201.pdf,Failed,NA,ROI not found or OCR error
285205.pdf,Success,"[368, 546, 0, 189]",Processed successfully
285212.pdf,Success,"[369, 548, 0, 191]",Processed successfully
285285.pdf,Failed,Unexpected error: Failed to load document (PDFium: Data format error).
285301.pdf,Failed,NA,ROI not found or OCR error
285451.pdf,Failed,NA,ROI not found or OCR error
285454.pdf,Success,"[362, 541, 0, 188]",Processed successfully
285487.pdf,Failed,NA,ROI not found or OCR error
285523.pdf,Failed,NA,ROI not found or OCR error
285537.pdf,Success,"[377, 546, 0, 189]",Processed successfully
285569.pdf,Success,"[383, 547, 0, 188]",Processed successfully
285575.pdf,Failed,NA,ROI not found or OCR error
285733.pdf,Success,"[377, 548, 0, 189]",Processed successfully
285760.pdf,Failed,NA,ROI not found or OCR error
285795.pdf,Failed,NA,ROI not found or OCR error
285811.pdf,Success,"[370, 548, 0, 187]",Processed successfully
285817.pdf,Failed,NA,ROI not found or OCR error
285835.pdf,Success,"[365, 544, 0, 187]",Processed successfully
285898.pdf,Failed,NA,ROI not found or OCR error
285922.pdf,Failed,NA,ROI not found or OCR error
285974.pdf,Failed,NA,ROI not found or OCR error
286002.pdf,Success,"[378, 547, 0, 190]",Processed successfully
286010.pdf,Success,"[364, 543, 0, 185]",Processed successfully
286115.pdf,Success,"[372, 547, 0, 189]",Processed successfully
286121.pdf,Success,"[368, 543, 0, 189]",Processed successfully
286152.pdf,Success,"[374, 543, 0, 187]",Processed successfully
286209.pdf,Failed,NA,ROI not found or OCR error
286227.pdf,Success,"[362, 538, 0, 186]",Processed successfully
286305.pdf,Success,"[409, 612, 0, 190]",Processed successfully
286429.pdf,Success,"[371, 545, 0, 187]",Processed successfully
286439.pdf,Success,"[448, 543, 0, 188]",Processed successfully
286442.pdf,Failed,NA,ROI not found or OCR error
286511.pdf,Failed,NA,ROI not found or OCR error
286513.pdf,Success,"[364, 543, 0, 188]",Processed successfully
286629.pdf,Success,"[405, 612, 0, 198]",Processed successfully
286671.pdf,Failed,NA,ROI not found or OCR error
286688.pdf,Failed,NA,ROI not found or OCR error
286748.pdf,Success,"[439, 612, 0, 191]",Processed successfully
286787.pdf,Success,"[382, 543, 0, 184]",Processed successfully
286900.pdf,Success,"[371, 543, 0, 188]",Processed successfully
286904.pdf,Success,"[368, 543, 0, 219]",Processed successfully
286912.pdf,Success,"[376, 543, 0, 188]",Processed successfully
287025.pdf,Failed,NA,ROI not found or OCR error
287028.pdf,Success,"[392, 544, 0, 187]",Processed successfully
287054.pdf,Failed,NA,ROI not found or OCR error
287066.pdf,Success,"[367, 543, 0, 187]",Processed successfully
287161.pdf,Success,"[369, 543, 0, 188]",Processed successfully
287170.pdf,Success,"[432, 550, 0, 190]",Processed successfully
287179.pdf,Success,"[363, 543, 0, 188]",Processed successfully
287335.pdf,Success,"[365, 539, 0, 189]",Processed successfully
287403.pdf,Failed,NA,ROI not found or OCR error
287427.pdf,Failed,NA,ROI not found or OCR error
287460.pdf,Success,"[361, 542, 0, 185]",Processed successfully
287472.pdf,Success,"[366, 544, 0, 178]",Processed successfully
287495.pdf,Failed,NA,ROI not found or OCR error
287503.pdf,Failed,NA,ROI not found or OCR error
287505.pdf,Success,"[401, 546, 0, 188]",Processed successfully
287521.pdf,Success,"[362, 543, 0, 188]",Processed successfully
287715.pdf,Failed,NA,ROI not found or OCR error
287760.pdf,Success,"[447, 610, 0, 204]",Processed successfully
287850.pdf,Failed,NA,ROI not found or OCR error
287853.pdf,Success,"[388, 541, 0, 189]",Processed successfully
287894.pdf,Success,"[371, 546, 0, 219]",Processed successfully
287966.pdf,Success,"[383, 544, 0, 187]",Processed successfully
288025.pdf,Failed,NA,ROI not found or OCR error
288069.pdf,Failed,NA,ROI not found or OCR error
288087.pdf,Failed,NA,ROI not found or OCR error
288101.pdf,Failed,NA,ROI not found or OCR error
288134.pdf,Success,"[452, 612, 0, 189]",Processed successfully
288303.pdf,Success,"[374, 544, 0, 186]",Processed successfully
288307.pdf,Failed,NA,ROI not found or OCR error
288363.pdf,Failed,NA,ROI not found or OCR error
288383.pdf,Failed,NA,ROI not found or OCR error
288433.pdf,Success,"[369, 544, 0, 186]",Processed successfully
288448.pdf,Failed,NA,ROI not found or OCR error
288469.pdf,Success,"[467, 548, 0, 220]",Processed successfully
288483.pdf,Success,"[427, 612, 0, 205]",Processed successfully
288501.pdf,Success,"[403, 543, 0, 187]",Processed successfully
288548.pdf,Failed,NA,ROI not found or OCR error
288647.pdf,Failed,NA,ROI not found or OCR error
288656.pdf,Failed,NA,ROI not found or OCR error
288690.pdf,Failed,NA,ROI not found or OCR error
288760.pdf,Success,"[374, 542, 0, 186]",Processed successfully
288763.pdf,Failed,NA,ROI not found or OCR error
288797.pdf,Success,"[389, 543, 0, 187]",Processed successfully
288817.pdf,Success,"[368, 545, 0, 188]",Processed successfully
288826.pdf,Failed,NA,ROI not found or OCR error
288868.pdf,Failed,NA,ROI not found or OCR error
288892.pdf,Failed,NA,ROI not found or OCR error
288930.pdf,Success,"[371, 550, 0, 220]",Processed successfully
288934.pdf,Success,"[414, 612, 0, 190]",Processed successfully
288948.pdf,Success,"[375, 552, 0, 190]",Processed successfully
288978.pdf,Failed,NA,ROI not found or OCR error
288980.pdf,Success,"[434, 545, 0, 189]",Processed successfully
289016.pdf,Success,"[403, 612, 0, 191]",Processed successfully
289051.pdf,Success,"[369, 544, 0, 187]",Processed successfully
289075.pdf,Success,"[367, 544, 0, 186]",Processed successfully
289099.pdf,Success,"[434, 545, 0, 189]",Processed successfully
289158.pdf,Success,"[373, 541, 0, 187]",Processed successfully
289179.pdf,Failed,NA,ROI not found or OCR error
289224.pdf,Success,"[373, 541, 0, 189]",Processed successfully
289299.pdf,Failed,NA,ROI not found or OCR error
289301.pdf,Success,"[450, 612, 0, 189]",Processed successfully
289411.pdf,Success,"[506, 546, 0, 183]",Processed successfully
289417.pdf,Success,"[376, 544, 0, 188]",Processed successfully
289423.pdf,Failed,NA,ROI not found or OCR error
289435.pdf,Failed,NA,ROI not found or OCR error
289457.pdf,Success,"[375, 543, 0, 186]",Processed successfully
289511.pdf,Success,"[368, 610, 0, 188]",Processed successfully
289513.pdf,Success,"[387, 544, 0, 190]",Processed successfully
289517.pdf,Failed,NA,ROI not found or OCR error
289569.pdf,Success,"[443, 543, 0, 187]",Processed successfully
289583.pdf,Failed,NA,ROI not found or OCR error
289688.pdf,Failed,NA,ROI not found or OCR error
289838.pdf,Failed,NA,ROI not found or OCR error
289856.pdf,Failed,NA,ROI not found or OCR error
289906.pdf,Failed,NA,ROI not found or OCR error
289914.pdf,Success,"[365, 542, 0, 188]",Processed successfully
289970.pdf,Success,"[398, 549, 0, 188]",Processed successfully
289992.pdf,Success,"[368, 545, 0, 186]",Processed successfully
290000.pdf,Failed,NA,ROI not found or OCR error
290028.pdf,Failed,NA,ROI not found or OCR error
290031.pdf,Success,"[367, 544, 0, 186]",Processed successfully
290078.pdf,Success,"[381, 543, 0, 189]",Processed successfully
290085.pdf,Success,"[370, 545, 0, 189]",Processed successfully
290115.pdf,Success,"[371, 545, 0, 190]",Processed successfully
290167.pdf,Success,"[448, 543, 0, 188]",Processed successfully
290209.pdf,Success,"[412, 543, 0, 186]",Processed successfully
290218.pdf,Failed,NA,ROI not found or OCR error
290240.pdf,Failed,NA,ROI not found or OCR error
290243.pdf,Failed,NA,ROI not found or OCR error
290276.pdf,Failed,NA,ROI not found or OCR error
290303.pdf,Failed,NA,ROI not found or OCR error
290351.pdf,Success,"[376, 547, 0, 190]",Processed successfully
290389.pdf,Failed,NA,ROI not found or OCR error
290421.pdf,Failed,NA,ROI not found or OCR error
290531.pdf,Failed,NA,ROI not found or OCR error
290545.pdf,Success,"[363, 539, 0, 185]",Processed successfully
290611.pdf,Success,"[529, 542, 0, 190]",Processed successfully
290653.pdf,Failed,NA,ROI not found or OCR error
290662.pdf,Failed,NA,ROI not found or OCR error
290665.pdf,Success,"[369, 542, 0, 187]",Processed successfully
290668.pdf,Success,"[369, 544, 0, 186]",Processed successfully
290677.pdf,Success,"[368, 545, 0, 188]",Processed successfully
290680.pdf,Failed,NA,ROI not found or OCR error
290684.pdf,Failed,NA,ROI not found or OCR error
290694.pdf,Success,"[389, 612, 0, 226]",Processed successfully
290727.pdf,Success,"[443, 544, 0, 184]",Processed successfully
290778.pdf,Success,"[370, 543, 0, 188]",Processed successfully
290868.pdf,Success,"[374, 544, 0, 189]",Processed successfully
290910.pdf,Failed,NA,ROI not found or OCR error
290920.pdf,Success,"[370, 544, 0, 187]",Processed successfully
290978.pdf,Success,"[384, 544, 0, 190]",Processed successfully
290998.pdf,Failed,NA,ROI not found or OCR error
291031.pdf,Success,"[368, 543, 0, 186]",Processed successfully
291048.pdf,Failed,NA,ROI not found or OCR error
291081.pdf,Failed,NA,ROI not found or OCR error
291089.pdf,Success,"[382, 543, 0, 186]",Processed successfully
291105.pdf,Success,"[368, 540, 0, 186]",Processed successfully
291140.pdf,Failed,NA,ROI not found or OCR error
291161.pdf,Success,"[367, 543, 0, 187]",Processed successfully
291281.pdf,Success,"[375, 543, 0, 187]",Processed successfully
291307.pdf,Success,"[411, 612, 0, 190]",Processed successfully
291339.pdf,Failed,NA,ROI not found or OCR error
291342.pdf,Success,"[367, 543, 0, 184]",Processed successfully
291354.pdf,Failed,NA,ROI not found or OCR error
291363.pdf,Failed,NA,ROI not found or OCR error
291372.pdf,Failed,NA,ROI not found or OCR error
291378.pdf,Success,"[372, 544, 0, 188]",Processed successfully
291469.pdf,Success,"[382, 541, 0, 186]",Processed successfully
291485.pdf,Failed,NA,ROI not found or OCR error
291519.pdf,Success,"[398, 610, 0, 209]",Processed successfully
291581.pdf,Success,"[368, 544, 0, 186]",Processed successfully
291608.pdf,Failed,NA,ROI not found or OCR error
291656.pdf,Success,"[364, 610, 0, 187]",Processed successfully
291680.pdf,Success,"[379, 543, 0, 189]",Processed successfully
291736.pdf,Failed,NA,ROI not found or OCR error
291880.pdf,Failed,NA,ROI not found or OCR error
291900.pdf,Failed,NA,ROI not found or OCR error
291916.pdf,Success,"[439, 543, 0, 186]",Processed successfully
291930.pdf,Success,"[381, 543, 0, 184]",Processed successfully
291940.pdf,Failed,NA,ROI not found or OCR error
291974.pdf,Success,"[382, 543, 0, 188]",Processed successfully
291978.pdf,Success,"[378, 541, 0, 188]",Processed successfully
291996.pdf,Failed,NA,ROI not found or OCR error
292037.pdf,Failed,NA,ROI not found or OCR error
292045.pdf,Success,"[387, 610, 0, 186]",Processed successfully
292136.pdf,Failed,NA,ROI not found or OCR error
292279.pdf,Success,"[370, 544, 0, 185]",Processed successfully
292281.pdf,Success,"[414, 545, 0, 218]",Processed successfully
292333.pdf,Failed,NA,ROI not found or OCR error
292339.pdf,Success,"[366, 543, 0, 187]",Processed successfully
292342.pdf,Success,"[363, 610, 0, 187]",Processed successfully
292348.pdf,Failed,NA,ROI not found or OCR error
292429.pdf,Success,"[367, 543, 0, 185]",Processed successfully
292485.pdf,Success,"[362, 539, 0, 185]",Processed successfully
292487.pdf,Success,"[421, 612, 0, 217]",Processed successfully
292503.pdf,Failed,NA,ROI not found or OCR error
292507.pdf,Success,"[368, 542, 0, 184]",Processed successfully
292560.pdf,Failed,NA,ROI not found or OCR error
292605.pdf,Failed,NA,ROI not found or OCR error
292617.pdf,Failed,NA,ROI not found or OCR error
292623.pdf,Failed,NA,ROI not found or OCR error
292632.pdf,Success,"[422, 543, 0, 184]",Processed successfully
292674.pdf,Success,"[367, 541, 0, 185]",Processed successfully
292763.pdf,Failed,NA,ROI not found or OCR error
292799.pdf,Success,"[403, 610, 0, 217]",Processed successfully
292826.pdf,Failed,NA,ROI not found or OCR error
292900.pdf,Failed,NA,ROI not found or OCR error
292936.pdf,Success,"[371, 543, 0, 186]",Processed successfully
292966.pdf,Success,"[380, 543, 0, 188]",Processed successfully
293010.pdf,Success,"[377, 546, 0, 187]",Processed successfully
293016.pdf,Success,"[384, 543, 0, 188]",Processed successfully
293042.pdf,Failed,NA,ROI not found or OCR error
293081.pdf,Success,"[379, 542, 0, 191]",Processed successfully
293103.pdf,Success,"[399, 610, 0, 208]",Processed successfully
293138.pdf,Success,"[375, 544, 0, 186]",Processed successfully
293146.pdf,Success,"[374, 544, 0, 189]",Processed successfully
293164.pdf,Failed,NA,ROI not found or OCR error
293261.pdf,Failed,NA,ROI not found or OCR error
293315.pdf,Failed,NA,ROI not found or OCR error
293357.pdf,Success,"[367, 543, 0, 188]",Processed successfully
293375.pdf,Failed,Unexpected error: Failed to load document (PDFium: Data format error).
293387.pdf,Failed,NA,ROI not found or OCR error
293403.pdf,Success,"[398, 612, 0, 190]",Processed successfully
293425.pdf,Success,"[368, 543, 0, 188]",Processed successfully
293427.pdf,Failed,NA,ROI not found or OCR error
293445.pdf,Success,"[372, 544, 0, 187]",Processed successfully
293485.pdf,Success,"[378, 542, 0, 187]",Processed successfully
293551.pdf,Success,"[412, 610, 0, 206]",Processed successfully
293650.pdf,Success,"[364, 543, 0, 184]",Processed successfully
293656.pdf,Failed,NA,ROI not found or OCR error
293674.pdf,Failed,NA,ROI not found or OCR error
293686.pdf,Failed,NA,ROI not found or OCR error
293703.pdf,Success,"[390, 543, 0, 185]",Processed successfully
293706.pdf,Success,"[439, 542, 0, 185]",Processed successfully
293712.pdf,Success,"[367, 545, 0, 183]",Processed successfully
293754.pdf,Success,"[367, 548, 0, 217]",Processed successfully
293760.pdf,Success,"[363, 610, 0, 185]",Processed successfully
293838.pdf,Success,"[380, 551, 0, 185]",Processed successfully
293856.pdf,Success,"[359, 536, 0, 185]",Processed successfully
293932.pdf,Failed,NA,ROI not found or OCR error
293938.pdf,Failed,NA,ROI not found or OCR error
293944.pdf,Failed,NA,ROI not found or OCR error
294057.pdf,Failed,NA,ROI not found or OCR error
294060.pdf,Success,"[366, 544, 0, 187]",Processed successfully
294087.pdf,Failed,NA,ROI not found or OCR error
294093.pdf,Success,"[366, 544, 0, 186]",Processed successfully
294109.pdf,Failed,NA,ROI not found or OCR error
294127.pdf,Success,"[364, 542, 0, 184]",Processed successfully
294199.pdf,Success,"[365, 546, 0, 218]",Processed successfully
294207.pdf,Success,"[409, 542, 0, 193]",Processed successfully
294240.pdf,Success,"[384, 543, 0, 186]",Processed successfully
294433.pdf,Success,"[364, 543, 0, 188]",Processed successfully
294454.pdf,Failed,NA,ROI not found or OCR error
294501.pdf,Success,"[364, 543, 0, 185]",Processed successfully
294560.pdf,Failed,NA,ROI not found or OCR error
294575.pdf,Success,"[367, 545, 0, 186]",Processed successfully
294581.pdf,Success,"[364, 543, 0, 184]",Processed successfully
294605.pdf,Success,"[371, 544, 0, 186]",Processed successfully
294611.pdf,Success,"[439, 612, 0, 188]",Processed successfully
294690.pdf,Success,"[367, 543, 0, 184]",Processed successfully
294760.pdf,Success,"[363, 543, 0, 187]",Processed successfully
294948.pdf,Failed,NA,ROI not found or OCR error
294960.pdf,Failed,NA,ROI not found or OCR error
295013.pdf,Failed,NA,ROI not found or OCR error
295045.pdf,Success,"[367, 546, 0, 186]",Processed successfully
295087.pdf,Success,"[401, 612, 0, 189]",Processed successfully
295093.pdf,Failed,NA,ROI not found or OCR error
295121.pdf,Success,"[411, 543, 0, 183]",Processed successfully
295181.pdf,Success,"[365, 544, 0, 185]",Processed successfully
295185.pdf,Success,"[377, 545, 0, 184]",Processed successfully
295255.pdf,Success,"[439, 612, 0, 189]",Processed successfully
295309.pdf,Success,"[365, 542, 0, 186]",Processed successfully
295342.pdf,Success,"[365, 542, 0, 183]",Processed successfully
295378.pdf,Success,"[362, 541, 0, 185]",Processed successfully
295400.pdf,Success,"[365, 544, 0, 186]",Processed successfully
295438.pdf,Failed,NA,ROI not found or OCR error
295525.pdf,Success,"[365, 544, 0, 185]",Processed successfully
295560.pdf,Success,"[366, 544, 0, 186]",Processed successfully
295578.pdf,Success,"[365, 605, 0, 184]",Processed successfully
295623.pdf,Failed,NA,ROI not found or OCR error
295641.pdf,Failed,NA,ROI not found or OCR error
295727.pdf,Failed,NA,ROI not found or OCR error
295733.pdf,Failed,NA,ROI not found or OCR error
295736.pdf,Success,"[370, 541, 0, 187]",Processed successfully
295742.pdf,Success,"[365, 544, 0, 185]",Processed successfully
295775.pdf,Success,"[373, 544, 0, 186]",Processed successfully
295797.pdf,Failed,NA,ROI not found or OCR error
295906.pdf,Failed,NA,ROI not found or OCR error
295926.pdf,Failed,NA,ROI not found or OCR error
295938.pdf,Success,"[364, 542, 0, 185]",Processed successfully
295962.pdf,Success,"[365, 543, 0, 184]",Processed successfully
295984.pdf,Failed,NA,ROI not found or OCR error
296063.pdf,Success,"[365, 543, 0, 186]",Processed successfully
296093.pdf,Failed,NA,ROI not found or OCR error
296138.pdf,Failed,NA,ROI not found or OCR error
296185.pdf,Failed,NA,ROI not found or OCR error
296207.pdf,Success,"[367, 547, 0, 185]",Processed successfully
296249.pdf,Failed,NA,ROI not found or OCR error
296325.pdf,Success,"[385, 547, 0, 184]",Processed successfully
296360.pdf,Failed,NA,ROI not found or OCR error
296393.pdf,Failed,NA,ROI not found or OCR error
296395.pdf,Failed,NA,ROI not found or OCR error
296431.pdf,Failed,NA,ROI not found or OCR error
296569.pdf,Success,"[411, 612, 0, 189]",Processed successfully
296587.pdf,Failed,NA,ROI not found or OCR error
296589.pdf,Failed,NA,ROI not found or OCR error
296593.pdf,Success,"[364, 542, 0, 186]",Processed successfully
296599.pdf,Success,"[364, 542, 0, 187]",Processed successfully
296602.pdf,Failed,NA,ROI not found or OCR error
296620.pdf,Success,"[364, 541, 0, 184]",Processed successfully
296718.pdf,Success,"[365, 543, 0, 187]",Processed successfully
296742.pdf,Failed,NA,ROI not found or OCR error
296745.pdf,Failed,NA,ROI not found or OCR error
296757.pdf,Success,"[443, 544, 0, 182]",Processed successfully
296763.pdf,Success,"[364, 542, 0, 185]",Processed successfully
296811.pdf,Failed,NA,ROI not found or OCR error
296814.pdf,Success,"[441, 544, 0, 187]",Processed successfully
296820.pdf,Success,"[378, 542, 0, 188]",Processed successfully
296823.pdf,Success,"[382, 545, 0, 184]",Processed successfully
296829.pdf,Failed,NA,ROI not found or OCR error
296859.pdf,Failed,NA,ROI not found or OCR error
296862.pdf,Failed,NA,ROI not found or OCR error
296880.pdf,Failed,NA,ROI not found or OCR error
296896.pdf,Success,"[367, 548, 0, 185]",Processed successfully
296912.pdf,Failed,NA,ROI not found or OCR error
296936.pdf,Failed,NA,ROI not found or OCR error
296944.pdf,Success,"[396, 612, 0, 198]",Processed successfully
296946.pdf,Success,"[376, 544, 0, 185]",Processed successfully
296954.pdf,Success,"[418, 612, 0, 187]",Processed successfully
296962.pdf,Failed,NA,ROI not found or OCR error
296980.pdf,Success,"[364, 542, 0, 187]",Processed successfully
297066.pdf,Success,"[364, 542, 0, 187]",Processed successfully
297093.pdf,Success,"[362, 543, 0, 184]",Processed successfully
297134.pdf,Success,"[365, 542, 0, 185]",Processed successfully
297193.pdf,Failed,NA,ROI not found or OCR error
297215.pdf,Failed,NA,ROI not found or OCR error
297227.pdf,Failed,NA,ROI not found or OCR error
297252.pdf,Success,"[368, 547, 0, 187]",Processed successfully
297301.pdf,Failed,NA,ROI not found or OCR error
297303.pdf,Failed,NA,ROI not found or OCR error
297345.pdf,Failed,NA,ROI not found or OCR error
297395.pdf,Success,"[365, 544, 0, 185]",Processed successfully
297417.pdf,Failed,NA,ROI not found or OCR error
297439.pdf,Failed,NA,ROI not found or OCR error
297485.pdf,Success,"[405, 547, 0, 183]",Processed successfully
297511.pdf,Success,"[365, 543, 0, 187]",Processed successfully
297515.pdf,Success,"[402, 612, 0, 187]",Processed successfully
297529.pdf,Success,"[362, 539, 0, 187]",Processed successfully
297591.pdf,Failed,NA,ROI not found or OCR error
297644.pdf,Failed,NA,ROI not found or OCR error
297688.pdf,Success,"[368, 551, 0, 186]",Processed successfully
297706.pdf,Success,"[427, 612, 0, 187]",Processed successfully
297736.pdf,Failed,NA,ROI not found or OCR error
297799.pdf,Success,"[364, 544, 0, 186]",Processed successfully
297859.pdf,Success,"[426, 544, 0, 185]",Processed successfully
297910.pdf,Failed,NA,ROI not found or OCR error
297918.pdf,Success,"[375, 544, 0, 184]",Processed successfully
297926.pdf,Failed,NA,ROI not found or OCR error
297956.pdf,Success,"[361, 539, 0, 186]",Processed successfully
297982.pdf,Failed,NA,ROI not found or OCR error
