PDF File,Status,ROI,Error Message
151924.pdf,Success,"[394, 542, 0, 186]",Processed successfully
152475.pdf,Success,"[376, 544, 0, 187]",Processed successfully
152572.pdf,Success,"[427, 610, 0, 205]",Processed successfully
152792.pdf,Failed,NA,ROI not found or OCR error
153277.pdf,Failed,NA,ROI not found or OCR error
153340.pdf,Failed,NA,ROI not found or OCR error
153798.pdf,Success,"[378, 542, 0, 184]",Processed successfully
153829.pdf,Success,"[372, 543, 0, 191]",Processed successfully
154079.pdf,Success,"[414, 612, 0, 190]",Processed successfully
154671.pdf,Success,"[386, 543, 0, 188]",Processed successfully
155855.pdf,Success,"[398, 543, 0, 185]",Processed successfully
156063.pdf,Failed,NA,ROI not found or OCR error
156356.pdf,Failed,NA,ROI not found or OCR error
156885.pdf,Success,"[432, 545, 0, 188]",Processed successfully
157572.pdf,Success,"[366, 542, 0, 189]",Processed successfully
157946.pdf,Success,"[365, 546, 0, 185]",Processed successfully
158455.pdf,Success,"[382, 543, 0, 187]",Processed successfully
158536.pdf,Success,"[375, 543, 0, 187]",Processed successfully
158879.pdf,Success,"[371, 543, 0, 190]",Processed successfully
158934.pdf,Failed,NA,ROI not found or OCR error
159215.pdf,Success,"[362, 540, 0, 186]",Processed successfully
159257.pdf,Failed,NA,ROI not found or OCR error
159312.pdf,Success,"[377, 542, 0, 188]",Processed successfully
159532.pdf,Failed,NA,ROI not found or OCR error
159655.pdf,Success,"[368, 544, 0, 187]",Processed successfully
159809.pdf,Failed,NA,ROI not found or OCR error
160282.pdf,Failed,NA,ROI not found or OCR error
160703.pdf,Failed,NA,ROI not found or OCR error
160711.pdf,Failed,NA,ROI not found or OCR error
160787.pdf,Success,"[406, 612, 0, 191]",Processed successfully
160915.pdf,Failed,NA,ROI not found or OCR error
161547.pdf,Success,"[368, 545, 0, 187]",Processed successfully
161660.pdf,Failed,NA,ROI not found or OCR error
162111.pdf,Success,"[369, 550, 0, 188]",Processed successfully
162250.pdf,Failed,NA,ROI not found or OCR error
162365.pdf,Failed,NA,ROI not found or OCR error
162624.pdf,Failed,NA,ROI not found or OCR error
162640.pdf,Failed,NA,ROI not found or OCR error
163206.pdf,Success,"[371, 545, 0, 189]",Processed successfully
163379.pdf,Failed,NA,ROI not found or OCR error
163434.pdf,Success,"[406, 542, 0, 186]",Processed successfully
164773.pdf,Success,"[365, 542, 0, 187]",Processed successfully
165533.pdf,Success,"[387, 543, 0, 187]",Processed successfully
165949.pdf,Failed,NA,ROI not found or OCR error
166018.pdf,Failed,NA,ROI not found or OCR error
166270.pdf,Failed,NA,ROI not found or OCR error
166636.pdf,Success,"[409, 542, 0, 191]",Processed successfully
166717.pdf,Failed,NA,ROI not found or OCR error
167331.pdf,Failed,NA,ROI not found or OCR error
167446.pdf,Success,"[414, 610, 0, 221]",Processed successfully
168028.pdf,Success,"[401, 612, 0, 190]",Processed successfully
168361.pdf,Success,"[375, 549, 0, 187]",Processed successfully
170083.pdf,Success,"[370, 541, 0, 185]",Processed successfully
170148.pdf,Failed,NA,ROI not found or OCR error
170635.pdf,Failed,NA,ROI not found or OCR error
171704.pdf,Success,"[376, 546, 0, 188]",Processed successfully
171746.pdf,Success,"[366, 545, 0, 192]",Processed successfully
172792.pdf,Failed,NA,ROI not found or OCR error
174485.pdf,Failed,NA,ROI not found or OCR error
175075.pdf,Success,"[380, 542, 0, 187]",Processed successfully
176005.pdf,Failed,NA,ROI not found or OCR error
176102.pdf,Failed,NA,ROI not found or OCR error
176437.pdf,Success,"[456, 542, 0, 186]",Processed successfully
176568.pdf,Success,"[406, 543, 0, 189]",Processed successfully
176649.pdf,Failed,NA,ROI not found or OCR error
177603.pdf,Failed,NA,ROI not found or OCR error
177899.pdf,Success,"[378, 543, 0, 188]",Processed successfully
178780.pdf,Success,"[377, 546, 0, 189]",Processed successfully
179011.pdf,Failed,NA,ROI not found or OCR error
179045.pdf,Failed,NA,ROI not found or OCR error
179427.pdf,Success,"[366, 544, 0, 189]",Processed successfully
179663.pdf,Success,"[365, 544, 0, 185]",Processed successfully
180119.pdf,Failed,NA,ROI not found or OCR error
180143.pdf,Failed,NA,ROI not found or OCR error
180850.pdf,Success,"[367, 544, 0, 189]",Processed successfully
180973.pdf,Failed,NA,ROI not found or OCR error
181571.pdf,Failed,NA,ROI not found or OCR error
181644.pdf,Failed,NA,ROI not found or OCR error
182349.pdf,Success,"[392, 545, 0, 189]",Processed successfully
182470.pdf,Failed,NA,ROI not found or OCR error
183175.pdf,Success,"[369, 541, 0, 187]",Processed successfully
184210.pdf,Success,"[370, 552, 0, 188]",Processed successfully
184341.pdf,Failed,NA,ROI not found or OCR error
186602.pdf,Success,"[511, 547, 0, 190]",Processed successfully
188387.pdf,Success,"[365, 543, 0, 188]",Processed successfully
188890.pdf,Success,"[364, 549, 0, 187]",Processed successfully
189105.pdf,Success,"[397, 543, 0, 189]",Processed successfully
189333.pdf,Failed,NA,ROI not found or OCR error
190504.pdf,Failed,NA,ROI not found or OCR error
191233.pdf,Success,"[379, 545, 0, 190]",Processed successfully
191908.pdf,Failed,NA,ROI not found or OCR error
192297.pdf,Success,"[369, 549, 0, 192]",Processed successfully
193201.pdf,Success,"[365, 543, 0, 185]",Processed successfully
193471.pdf,Failed,NA,ROI not found or OCR error
193633.pdf,Success,"[377, 542, 0, 188]",Processed successfully
193659.pdf,Success,"[382, 543, 0, 190]",Processed successfully
194299.pdf,Success,"[380, 543, 0, 185]",Processed successfully
195017.pdf,Failed,NA,ROI not found or OCR error
195619.pdf,Success,"[373, 543, 0, 189]",Processed successfully
195889.pdf,Failed,NA,ROI not found or OCR error
195936.pdf,Success,"[365, 543, 0, 187]",Processed successfully
196063.pdf,Failed,NA,ROI not found or OCR error
196225.pdf,Success,"[368, 540, 0, 188]",Processed successfully
196372.pdf,Success,"[383, 544, 0, 189]",Processed successfully
196437.pdf,Success,"[380, 545, 0, 185]",Processed successfully
