PDF File,Status,ROI,Signature_box,Error Message
113845.pdf,Success,"[374, 550, 0, 168]","[[374.2584533691406, 106.88877868652344, 503.66644287109375, 135.9955596923828], [377.6334228515625, 139.00819396972656, 504.7820739746094, 166.22410583496094], [377.60137939453125, 141.8970184326172, 400.61083984375, 165.8520965576172]]",Processed successfully
119011.pdf,Success,"[340, 544, 0, 146]","[[371.2109069824219, 117.6699447631836, 504.8112487792969, 135.6591033935547], [355.484375, 14.046225547790527, 513.982177734375, 123.57091522216797]]",Processed successfully
119273.pdf,Success,"[339, 543, 0, 146]","[[369.4637145996094, 112.49209594726562, 449.9872131347656, 134.88790893554688], [467.0879821777344, 111.74007415771484, 520.36474609375, 144.188232421875], [372.649169921875, 108.97186279296875, 517.2913208007812, 140.0850067138672]]",Processed successfully
124325.pdf,Success,"[445, 612, 0, 171]","[[447.25799560546875, 118.5533218383789, 535.9898071289062, 140.3137969970703]]",Processed successfully
125266.pdf,Success,"[341, 544, 0, 142]","[[444.169189453125, 106.823974609375, 521.3992919921875, 135.31382751464844]]",Processed successfully
126343.pdf,Success,"[339, 544, 0, 143]","[[363.63714599609375, 108.5694580078125, 531.4524536132812, 134.7632598876953]]",Processed successfully
127674.pdf,Success,"[372, 545, 0, 165]","[[434.7732238769531, 0.8903852105140686, 484.1087646484375, 45.47697067260742], [375.7086181640625, 108.88892364501953, 447.6685791015625, 132.5604248046875]]",Processed successfully
128248.pdf,Success,"[367, 544, 0, 166]","[[378.1853332519531, 108.19590759277344, 481.38714599609375, 138.23782348632812]]",Processed successfully
130520.pdf,Success,"[432, 612, 0, 170]","[[469.8761291503906, 123.41716003417969, 544.1185913085938, 140.2602081298828]]",Processed successfully
131063.pdf,Success,"[339, 542, 0, 146]","[[366.1651306152344, 117.82135772705078, 412.2779846191406, 132.36428833007812]]",Processed successfully
131128.pdf,Success,"[390, 543, 0, 167]","[[416.325927734375, 109.29464721679688, 508.0347900390625, 141.95310974121094]]",Processed successfully
131623.pdf,Success,"[366, 543, 0, 168]","[[403.668212890625, 113.65316772460938, 491.6968688964844, 132.78285217285156], [469.2605895996094, 139.80319213867188, 529.6649169921875, 168.48985290527344]]",Processed successfully
132263.pdf,Success,"[343, 550, 0, 148]","[[367.5419616699219, 109.77752685546875, 523.8091430664062, 136.81378173828125]]",Processed successfully
132679.pdf,Success,"[404, 543, 0, 170]","[[416.0108947753906, 115.73107147216797, 480.151611328125, 136.06056213378906]]",Processed successfully
134207.pdf,Success,"[369, 542, 0, 168]","[[372.8131408691406, 78.62155151367188, 454.3859558105469, 123.98693084716797]]",Processed successfully
